time,Toga_position,Virus_Closet1,Virus_Closet2,Virus_Closet3,Virus_Closet4,Virus_Closet5,Virus_Closet6,Virus_Closet7,Virus_Closet8,Virus_Closet9
67,Closet2,67,0,0,0,0,0,0,0,0
81,Closet5,67,14,0,0,0,0,0,0,0
134,Closet2,67,14,0,0,53,0,0,0,0
143,Closet1,67,23,0,0,53,0,0,0,0
236,Closet4,160,23,0,0,53,0,0,0,0
320,Closet5,160,23,0,84,53,0,0,0,0
378,Closet8,160,23,0,84,111,0,0,0,0
424,Closet7,160,23,0,84,111,0,0,46,0
503,Closet8,160,23,0,84,111,0,79,46,0
569,Closet7,160,23,0,84,111,0,79,112,0
660,Closet8,160,23,0,84,111,0,170,112,0
716,Closet7,160,23,0,84,111,0,170,168,0
786,Closet4,160,23,0,84,111,0,240,168,0
836,Closet7,160,23,0,134,111,0,240,168,0
876,Closet8,160,23,0,134,111,0,280,168,0
919,Closet7,160,23,0,134,111,0,280,211,0
1008,Closet8,160,23,0,134,111,0,369,211,0